epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.529,0.78382,0.97576,0.0023,0.96047,0.95209,0.98677,0.84218,0.63263,0.29827,0.00223,0.000473136,0.000473136,0.000473136
2,175.802,0.65383,0.30198,0.00192,0.9755,0.97047,0.9913,0.83189,0.65634,0.23385,0.00239,0.00094007,0.00094007,0.00094007
3,248.615,0.67679,0.26611,0.002,0.9762,0.9736,0.99195,0.84925,0.63152,0.23296,0.00225,0.00139757,0.00139757,0.00139757
4,320.21,0.66859,0.24877,0.00196,0.98728,0.98661,0.99425,0.86682,0.5781,0.18922,0.00198,0.00138656,0.00138656,0.00138656
5,399.639,0.64542,0.23443,0.00189,0.98544,0.98717,0.99283,0.85665,0.60336,0.1923,0.00206,0.00137241,0.00137241,0.00137241
6,478.776,0.64033,0.23916,0.00185,0.98597,0.98794,0.9938,0.83979,0.63598,0.2001,0.00213,0.00135826,0.00135826,0.00135826
7,550.673,0.62355,0.21983,0.0018,0.98481,0.98792,0.99344,0.8716,0.56368,0.18699,0.002,0.00134412,0.00134412,0.00134412
8,621.879,0.60894,0.20593,0.00174,0.99176,0.98944,0.99475,0.88413,0.55867,0.17305,0.00191,0.00132997,0.00132997,0.00132997
9,693.718,0.59684,0.20261,0.00171,0.9867,0.98365,0.99404,0.8843,0.5296,0.18001,0.00184,0.00131582,0.00131582,0.00131582
10,764.557,0.59325,0.19949,0.00175,0.98937,0.99173,0.99461,0.89135,0.51814,0.16526,0.00179,0.00130168,0.00130168,0.00130168
11,837.864,0.58709,0.19719,0.00167,0.99239,0.99052,0.99431,0.89028,0.51356,0.16645,0.00177,0.00128753,0.00128753,0.00128753
12,914.792,0.58854,0.19424,0.00169,0.99331,0.99132,0.99469,0.88771,0.54529,0.1726,0.00193,0.00127338,0.00127338,0.00127338
13,992.653,0.57907,0.19095,0.00167,0.99403,0.98978,0.99422,0.893,0.51536,0.16345,0.00178,0.00125923,0.00125923,0.00125923
14,1065.41,0.57827,0.19657,0.00165,0.98798,0.99206,0.99461,0.87838,0.56862,0.17748,0.00194,0.00124509,0.00124509,0.00124509
15,1142.08,0.57319,0.19276,0.00164,0.99204,0.99236,0.99481,0.88331,0.54265,0.17028,0.00189,0.00123094,0.00123094,0.00123094
16,1219.32,0.56728,0.18424,0.00161,0.99477,0.99008,0.99479,0.90588,0.49357,0.15322,0.00172,0.00121679,0.00121679,0.00121679
17,1292.87,0.56934,0.19241,0.00162,0.98986,0.98901,0.99453,0.89776,0.52844,0.16971,0.00184,0.00120265,0.00120265,0.00120265
